Date & Time,Temperature ©,Humidity (%),IndoorRelativeHumidity (%),DewPoint ©,Wind Speed (km/h),WindGust  (km/h),UVIndex,Visibility (km),CloudCover (%),Ceiling (m),Pressure (mb),ApparentTemperature ©,WindChill©,WetBulb ©
2023-01-29T16:37,8,48,36,-2.5,14.8,28.8,1,16.1,13,10150,1018,8.3,5,3.7
2023-01-29T16:57,8,48,36,-2.5,14.8,28.8,1,16.1,13,10150,1018,8.3,5,3.7
2023-01-29T17:37,7.1,49,36,-2.9,11.1,26.9,0,16.1,13,10180,1019,7.8,5,3
2023-01-29T18:47,6.2,52,36,-2.9,11.1,24.1,0,16.1,13,10150,1019,6.7,3.9,2.5
2023-01-29T19:47,5.9,53,36,-3,18.5,18.5,0,16.1,11,10180,1019,6.7,2.8,2.3
2023-01-29T20:44,4.5,60,36,-2.6,13,22.6,0,16.1,20,10150,1019,5.6,1.7,1.7
2023-01-29T21:47,5,56,35,-3.2,7.4,13.7,0,16.1,0,10180,1020,5.6,3.3,1.8
2023-01-29T22:37,2.9,66,36,-3,7.9,16.4,0,16.1,10,10150,1020,2.8,0.6,0.6
2023-01-29T23:37,0.9,74,35,-3.3,12.6,24.8,0,16.1,10,10180,1020,1.1,-2.8,-0.5
2023-01-30T00:37,1.8,67,35,-3.7,6.8,12.8,0,16.1,10,7833,1020,1.7,0,-0.2
2023-01-30T01:42,3.8,60,35,-3.2,11.1,17.7,0,16.1,0,7833,1019,3.9,1.1,1.1
2023-01-30T02:47,0.7,71,34,-4,10,17.3,0,16.1,11,8138,1019,0.6,-2.8,-1
2023-01-30T03:43,-0.8,78,34,-4.2,9.6,18.8,0,16.1,30,5883,1019,-0.6,-3.9,-1.9
2023-01-30T04:42,2.8,64,35,-3.3,11.1,17.5,0,16.1,11,244,1019,2.8,0,0.5
2023-01-30T05:47,0.5,69,33,-4.7,9.2,14.5,0,16.1,10,2682,1018,0.6,-2.8,-1.4
2023-01-30T06:47,-0.8,74,33,-4.9,7.9,16.7,0,16.1,10,2682,1018,-1.1,-3.9,-2.2
2023-01-30T07:37,2.1,68,35,-3.2,11.1,17.7,0,16.1,0,2682,1018,2.2,-1.1,0.1
2023-01-30T08:43,2,68,35,-3.3,11.1,16.7,1,16.1,0,2682,1018,2.2,-1.1,0
2023-01-30T09:47,2.5,69,36,-2.7,11.1,14.7,1,16.1,10,10363,1018,2.8,0,0.5
2023-01-30T10:42,4.7,62,37,-2.1,7.4,16.9,2,16.1,10,10058,1018,5.6,2.2,2
2023-01-30T11:42,6.2,58,38,-1.6,7.4,11.3,2,16.1,10,10211,1017,7.2,4.4,3
2023-01-30T12:37,6.9,55,38,-1.6,11.1,11.1,2,16.1,10,10150,1016,7.2,4.4,3.4
2023-01-30T13:43,7.9,53,39,-1.1,11.1,11.1,2,16.1,10,10180,1014,8.3,5.6,4
2023-01-30T14:42,8.8,49,38,-1.3,7.4,17.1,2,16.1,10,10150,1014,9.4,7.8,4.4
2023-01-30T15:37,9.1,48,38,-1.5,7.4,16.4,1,16.1,30,10150,1013,9.4,7.8,4.5
2023-01-30T16:47,8.6,49,38,-1.6,7.4,13.9,1,16.1,30,7894,1013,8.9,7.2,4.2
2023-01-30T17:32,7.7,50,37,-2,3.7,11.3,0,16.1,76,8047,1014,8.3,7.8,3.7
2023-01-30T18:47,6.7,54,37,-2.1,7.4,9.8,0,16.1,10,7986,1014,7.2,5,3.1
2023-01-30T19:33,5.2,59,37,-2.3,3.7,12.4,0,16.1,10,10363,1014,6.1,5,2.2
2023-01-30T20:38,3.7,69,38,-1.6,5.1,10.2,0,16.1,10,10058,1014,3.9,2.8,1.5
2023-01-30T21:37,3.3,68,37,-2,3.7,13.7,0,16.1,13,10211,1014,3.3,3.3,1.2
2023-01-30T22:48,0.9,79,37,-2.4,5.6,10.7,0,16.1,76,10150,1014,1.1,0,-0.2
2023-01-30T23:43,-0.2,83,36,-2.7,7.5,14.3,0,16.1,76,7925,1014,0,-2.8,-1.1
2023-01-31T00:47,1.4,73,36,-2.9,6.4,13.2,0,16.1,91,10363,1014,1.7,0,-0.1
2023-01-31T01:47,3.7,75,40,-0.4,3.7,14.1,0,16.1,91,5029,1014,3.9,3.9,2.1
2023-01-31T02:47,2.3,65,35,-3.6,7.3,11.7,0,16.1,76,9540,1015,2.2,0,0.1
2023-01-31T03:32,2,67,35,-3.5,9.2,19.9,0,16.1,76,10363,1014,2.2,-0.6,-0.1
2023-01-31T04:32,7.4,51,37,-2.1,14.8,26,0,16.1,10,10058,1015,7.8,4.4,3.4
2023-01-31T05:48,4.3,56,35,-3.7,22.2,41.4,0,16.1,10,7925,1015,5,0,1.2
2023-01-31T06:38,6.2,48,34,-4.1,25,46.5,0,16.1,10,7925,1016,6.7,1.7,2.1
