Date & Time,Barometer - hPa,Temp - C,High Temp - C,Low Temp - C,Hum - %,Dew Point - C,Wet Bulb - C,Avg Wind Speed - km/h,Heat Index - C,THW Index - C,Rain - mm,Heating Degree Days,Cooling Degree Days
"7/31/23 00:00","1012.5","24.9","25.1","24.9","64.2","17.7","19.6","0.0","25.6","25.6","0.0","0.000","0.069"
"7/31/23 00:15","1012.4","24.8","24.9","24.8","64.9","17.8","19.6","0.0","25.5","25.5","0.0","0.000","0.068"
"7/31/23 00:30","1012.2","24.9","24.9","24.8","64.6","17.8","19.6","0.0","25.6","25.6","0.0","0.000","0.069"
"7/31/23 00:45","1012.1","24.7","24.9","24.7","65.5","17.8","19.5","0.0","25.3","25.3","0.0","0.000","0.066"
"7/31/23 01:00","1012.1","24.7","24.7","24.6","65.9","17.9","19.6","0.0","25.3","25.3","0.0","0.000","0.066"
"7/31/23 01:15","1012.1","24.6","24.7","24.6","65.8","17.8","19.5","0.0","25.2","25.2","0.0","0.000","0.065"
"7/31/23 01:30","1012.0","24.9","24.9","24.6","62.1","17.1","19.1","0.0","25.5","25.5","0.0","0.000","0.068"
"7/31/23 01:45","1012.2","25.6","25.7","24.9","59.9","17.2","19.3","0.8","26.2","26.2","0.0","0.000","0.076"
"7/31/23 02:00","1012.2","26.3","26.3","25.5","53.6","16.1","18.6","1.7","26.5","26.5","0.0","0.000","0.083"
"7/31/23 02:15","1012.2","26.7","26.7","26.3","52.1","16.0","18.5","2.5","26.8","26.8","0.0","0.000","0.087"
"7/31/23 02:30","1012.3","26.7","26.7","26.6","52.1","16.0","18.5","1.5","26.8","26.8","0.0","0.000","0.087"
"7/31/23 02:45","1012.5","26.3","26.6","26.3","52.8","15.9","18.4","1.4","26.5","26.5","0.0","0.000","0.083"
"7/31/23 03:00","1012.5","25.9","26.4","25.9","53.7","15.8","18.3","0.5","26.2","26.2","0.0","0.000","0.079"
"7/31/23 03:15","1012.4","25.9","26.1","25.9","53.1","15.6","18.1","1.5","26.1","26.1","0.0","0.000","0.079"
"7/31/23 03:30","1012.2","26.1","26.1","25.9","52.3","15.5","18.1","1.9","26.2","26.2","0.0","0.000","0.080"
"7/31/23 03:45","1012.2","26.1","26.2","26.1","52.2","15.6","18.1","1.7","26.2","26.2","0.0","0.000","0.081"
"7/31/23 04:00","1012.5","26.1","26.2","26.1","52.6","15.6","18.1","2.0","26.2","26.2","0.0","0.000","0.080"
"7/31/23 04:15","1012.4","25.9","26.1","25.9","53.3","15.7","18.2","2.6","26.1","26.1","0.0","0.000","0.079"
"7/31/23 04:30","1012.5","25.7","25.9","25.7","54.0","15.7","18.1","2.2","25.9","25.9","0.0","0.000","0.076"
"7/31/23 04:45","1012.6","25.4","25.7","25.3","54.9","15.7","18.1","1.0","25.7","25.7","0.0","0.000","0.073"
"7/31/23 05:00","1012.4","25.3","25.4","25.2","55.2","15.7","18.1","1.0","25.6","25.6","0.0","0.000","0.072"
"7/31/23 05:15","1012.6","25.3","25.3","25.2","54.9","15.6","17.9","1.4","25.6","25.6","0.0","0.000","0.072"
"7/31/23 05:30","1012.5","25.3","25.3","25.3","54.3","15.4","17.8","2.0","25.5","25.5","0.0","0.000","0.072"
"7/31/23 05:45","1012.6","25.3","25.4","25.3","55.2","15.7","18.1","1.3","25.6","25.6","0.0","0.000","0.072"
"7/31/23 06:00","1012.7","25.3","25.3","25.2","54.8","15.6","18.0","2.0","25.6","25.6","0.0","0.000","0.073"
"7/31/23 06:15","1013.0","25.4","25.4","25.3","54.5","15.6","18.0","2.7","25.7","25.7","0.0","0.000","0.073"
"7/31/23 06:30","1013.0","25.3","25.4","25.3","55.2","15.7","18.1","0.7","25.6","25.6","0.0","0.000","0.073"
"7/31/23 06:45","1013.0","25.7","25.7","25.3","54.0","15.8","18.2","2.5","25.9","25.9","0.0","0.000","0.077"
"7/31/23 07:00","1013.1","25.9","25.9","25.7","53.1","15.6","18.1","1.8","26.1","26.1","0.0","0.000","0.079"
"7/31/23 07:15","1013.0","26.1","26.2","25.8","52.2","15.5","18.1","2.4","26.2","26.2","0.0","0.000","0.080"
"7/31/23 07:30","1012.8","26.4","26.4","25.9","49.7","15.1","17.8","3.0","26.4","26.4","0.0","0.000","0.084"
"7/31/23 07:45","1013.0","26.6","26.6","26.4","50.0","15.3","18.0","3.6","26.6","26.6","0.0","0.000","0.086"
"7/31/23 08:00","1012.7","27.2","27.2","26.6","47.8","15.2","17.9","3.6","27.2","27.2","0.0","0.000","0.092"
"7/31/23 08:15","1012.7","27.5","27.5","27.2","45.9","14.8","17.7","3.9","27.5","27.5","0.0","0.000","0.095"
"7/31/23 08:30","1012.8","27.4","27.6","27.4","45.7","14.8","17.6","3.3","27.4","27.4","0.0","0.000","0.095"
"7/31/23 08:45","1012.9","27.6","27.6","27.4","45.8","14.9","17.8","5.1","27.7","27.7","0.0","0.000","0.097"
"7/31/23 09:00","1013.1","27.8","27.8","27.6","46.2","15.3","18.0","4.1","27.9","27.9","0.0","0.000","0.098"
"7/31/23 09:15","1013.3","28.1","28.2","27.8","45.4","15.2","18.1","2.1","28.2","28.2","0.0","0.000","0.102"
"7/31/23 09:30","1013.4","27.9","28.2","27.9","45.0","14.9","17.8","3.2","27.9","27.9","0.0","0.000","0.100"
"7/31/23 09:45","1013.5","28.3","28.3","27.9","44.3","14.9","17.9","4.3","28.2","28.2","0.0","0.000","0.104"
"7/31/23 10:00","1013.2","28.7","28.7","28.3","44.1","15.3","18.2","4.3","28.6","28.6","0.0","0.000","0.108"
"7/31/23 10:15","1013.4","29.0","29.0","28.7","43.2","15.2","18.2","3.7","28.8","28.8","0.0","0.000","0.111"
"7/31/23 10:30","1013.2","29.1","29.1","28.9","42.5","15.0","18.1","5.2","28.9","28.9","0.0","0.000","0.112"
"7/31/23 10:45","1013.2","29.4","29.4","29.1","41.4","15.0","18.0","5.0","29.3","29.3","0.0","0.000","0.115"
"7/31/23 11:00","1013.0","29.9","29.9","29.3","39.6","14.7","17.9","3.5","29.9","29.9","0.0","0.000","0.121"
"7/31/23 11:15","1012.9","30.2","30.2","29.9","39.1","14.7","17.9","4.5","30.1","30.1","0.0","0.000","0.123"
"7/31/23 11:30","1012.8","30.4","30.4","30.1","38.7","14.8","18.1","4.8","30.3","30.3","0.0","0.000","0.126"
"7/31/23 11:45","1012.8","30.7","30.7","30.4","37.7","14.6","17.9","3.8","30.4","30.4","0.0","0.000","0.128"
"7/31/23 12:00","1012.6","31.1","31.1","30.7","38.4","15.2","18.4","4.0","30.9","30.9","0.0","0.000","0.133"
"7/31/23 12:15","1012.4","31.6","31.6","31.1","37.9","15.4","18.6","3.4","31.5","31.5","0.0","0.000","0.138"
"7/31/23 12:30","1012.3","31.9","31.9","31.6","36.8","15.3","18.5","4.3","31.8","31.8","0.0","0.000","0.141"
"7/31/23 12:45","1012.3","32.4","32.5","31.9","35.3","15.2","18.4","4.0","32.3","32.3","0.0","0.000","0.147"
"7/31/23 13:00","1012.3","32.3","32.5","32.2","35.7","15.5","18.4","2.9","32.3","32.3","0.0","0.000","0.145"
"7/31/23 13:15","1012.2","33.2","33.2","32.3","33.2","14.8","18.2","2.0","33.1","33.1","0.0","0.000","0.155"
"7/31/23 13:30","1012.1","33.4","33.8","33.2","32.0","14.5","18.0","2.1","33.2","33.2","0.0","0.000","0.157"
"7/31/23 13:45","1012.0","33.4","33.9","33.3","32.0","14.4","17.9","2.5","33.2","33.2","0.0","0.000","0.157"
"7/31/23 14:00","1011.7","34.4","34.4","33.3","30.8","14.7","18.2","0.9","34.0","34.0","0.0","0.000","0.167"
"7/31/23 14:15","1011.7","34.4","34.7","34.4","31.3","15.0","18.4","1.8","34.2","34.2","0.0","0.000","0.168"
"7/31/23 14:30","1011.5","35.4","35.5","34.3","28.9","14.6","18.2","1.5","35.2","35.2","0.0","0.000","0.178"
"7/31/23 14:45","1011.3","35.2","35.4","35.1","30.0","14.9","18.5","1.6","35.0","35.0","0.0","0.000","0.176"
"7/31/23 15:00","1011.2","34.4","35.5","34.4","31.1","14.9","18.4","2.4","34.1","34.1","0.0","0.000","0.168"
"7/31/23 15:15","1011.1","34.3","34.5","34.2","32.4","14.6","18.8","1.8","33.9","33.9","0.0","0.000","0.167"
"7/31/23 15:30","1010.9","34.5","34.6","34.3","31.4","15.1","18.6","1.6","34.3","34.3","0.0","0.000","0.168"
"7/31/23 15:45","1010.6","34.5","34.6","34.4","31.7","15.3","18.7","1.3","34.3","34.3","0.0","0.000","0.168"
"7/31/23 16:00","1010.6","33.8","34.7","33.7","33.6","15.6","18.8","1.3","33.9","33.9","0.0","0.000","0.161"
"7/31/23 16:15","1010.6","33.8","33.9","33.7","33.9","15.7","18.9","0.9","33.9","33.9","0.0","0.000","0.161"
"7/31/23 16:30","1010.5","33.3","33.8","33.1","34.5","15.6","18.8","2.6","33.6","33.6","0.0","0.000","0.156"
"7/31/23 16:45","1010.5","33.9","33.9","33.3","34.4","16.1","19.3","1.0","34.3","34.3","0.0","0.000","0.163"
"7/31/23 17:00","1010.4","33.6","34.3","33.6","35.5","16.3","19.4","2.7","34.1","34.1","0.0","0.000","0.159"
"7/31/23 17:15","1010.4","32.9","33.6","32.9","35.7","15.7","18.9","1.8","33.1","33.1","0.0","0.000","0.152"
"7/31/23 17:30","1010.2","33.8","33.8","32.9","34.2","15.8","19.1","2.6","34.0","34.0","0.0","0.000","0.161"
"7/31/23 17:45","1010.2","34.5","34.5","33.8","33.6","16.2","19.4","2.3","34.8","34.8","0.0","0.000","0.168"
"7/31/23 18:00","1010.1","34.3","34.5","34.3","33.8","16.1","19.3","1.8","34.6","34.6","0.0","0.000","0.167"
"7/31/23 18:15","1010.2","34.3","34.4","34.2","33.8","16.1","19.3","1.5","34.6","34.6","0.0","0.000","0.166"
"7/31/23 18:30","1010.3","33.9","34.3","33.9","34.8","16.2","19.4","1.5","34.3","34.3","0.0","0.000","0.163"
"7/31/23 18:45","1010.3","33.1","34.0","33.1","35.5","15.8","19.1","0.6","33.4","33.4","0.0","0.000","0.154"
"7/31/23 19:00","1010.3","32.4","33.1","32.4","37.6","16.1","19.2","0.6","32.7","32.7","0.0","0.000","0.147"
"7/31/23 19:15","1010.6","31.7","32.4","31.7","39.2","16.0","19.2","1.2","31.8","31.8","0.0","0.000","0.139"
"7/31/23 19:30","1010.4","31.1","31.6","31.1","39.9","15.9","18.9","1.5","31.1","31.1","0.0","0.000","0.133"
